Country;Protected area;Question;Type of value;Stakeholder;Value;Potential (value)
Bosnia and Herzegovina;PP Bijambare;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Tourism & recreation;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Tourism & recreation;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Building knowledge;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Formal & informal education;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Genetic material;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Genetic material;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Climate change mitigation;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Soil stabilization;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Flood prevention;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Water quality & quantity;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Pollination & honey production;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Pollination & honey production;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Nature materials;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Nature materials;Economic importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Wood;Importance of value;Local people living in the PA;0;0
Bosnia and Herzegovina;PP Bijambare;Wood;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Nature conservation;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Nature conservation;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Hunting;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Hunting;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Wild food plants and mushrooms;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Fishing;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Fishing;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Traditional agriculture;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Traditional agriculture;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Livestock grazing;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Livestock grazing;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Commercial & non-commercial water use;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Cultural & historical values;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Cultural & historical values;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Specific site value;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Medicinal herbs;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Tourism & recreation;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Tourism & recreation;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Building knowledge;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Formal & informal education;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Genetic material;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Genetic material;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Climate change mitigation;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Soil stabilization;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Flood prevention;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Water quality & quantity;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Pollination & honey production;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Pollination & honey production;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Nature materials;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Nature materials;Economic importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Wood;Importance of value;Local people living in the PA;0;0
Montenegro;NP Biogradska Gora;Wood;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Nature conservation;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Nature conservation;Economic importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Hunting;Importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Hunting;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Wild food plants and mushrooms;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Fishing;Importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Fishing;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Traditional agriculture;Importance of value;Local people living in the PA;2;0
Croatia;PP Biokovo;Traditional agriculture;Economic importance of value;Local people living in the PA;1;1
Croatia;PP Biokovo;Livestock grazing;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Livestock grazing;Economic importance of value;Local people living in the PA;2;1
Croatia;PP Biokovo;Commercial & non-commercial water use;Importance of value;Local people living in the PA;2;0
Croatia;PP Biokovo;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Cultural & historical values;Importance of value;Local people living in the PA;2;0
Croatia;PP Biokovo;Cultural & historical values;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Specific site value;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Medicinal herbs;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Tourism & recreation;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Tourism & recreation;Economic importance of value;Local people living in the PA;1;1
Croatia;PP Biokovo;Building knowledge;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Formal & informal education;Importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Genetic material;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Genetic material;Economic importance of value;Local people living in the PA;0;1
Croatia;PP Biokovo;Climate change mitigation;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Soil stabilization;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Flood prevention;Importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Water quality & quantity;Importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Pollination & honey production;Importance of value;Local people living in the PA;2;0
Croatia;PP Biokovo;Pollination & honey production;Economic importance of value;Local people living in the PA;1;0
Croatia;PP Biokovo;Nature materials;Importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Nature materials;Economic importance of value;Local people living in the PA;0;0
Croatia;PP Biokovo;Wood;Importance of value;Local people living in the PA;2;0
Croatia;PP Biokovo;Wood;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Nature conservation;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Nature conservation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Hunting;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Hunting;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Wild food plants and mushrooms;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Fishing;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Fishing;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Traditional agriculture;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Traditional agriculture;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Livestock grazing;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Livestock grazing;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Commercial & non-commercial water use;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Cultural & historical values;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Cultural & historical values;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Specific site value;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Medicinal herbs;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Tourism & recreation;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Tourism & recreation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Building knowledge;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Formal & informal education;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Genetic material;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Genetic material;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Climate change mitigation;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Soil stabilization;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Flood prevention;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Water quality & quantity;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Pollination & honey production;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Pollination & honey production;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Nature materials;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Nature materials;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Wood;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Drenoves;Wood;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Nature conservation;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Nature conservation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Hunting;Importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Hunting;Economic importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Wild food plants and mushrooms;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Fishing;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Fishing;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Traditional agriculture;Importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Traditional agriculture;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Livestock grazing;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Livestock grazing;Economic importance of value;Local people living in the PA;1;1
Albania;NP Bredhi i Hotoves;Commercial & non-commercial water use;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;1
Albania;NP Bredhi i Hotoves;Cultural & historical values;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Cultural & historical values;Economic importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Specific site value;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Medicinal herbs;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Tourism & recreation;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Tourism & recreation;Economic importance of value;Local people living in the PA;0;1
Albania;NP Bredhi i Hotoves;Building knowledge;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Formal & informal education;Importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Genetic material;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Genetic material;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Climate change mitigation;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Soil stabilization;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Flood prevention;Importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Water quality & quantity;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Pollination & honey production;Importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Pollination & honey production;Economic importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Nature materials;Importance of value;Local people living in the PA;1;0
Albania;NP Bredhi i Hotoves;Nature materials;Economic importance of value;Local people living in the PA;0;0
Albania;NP Bredhi i Hotoves;Wood;Importance of value;Local people living in the PA;2;0
Albania;NP Bredhi i Hotoves;Wood;Economic importance of value;Local people living in the PA;1;0
Croatia;NP Brijuni;Nature conservation;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Nature conservation;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Hunting;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Hunting;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Wild food plants and mushrooms;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Fishing;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Fishing;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Traditional agriculture;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Traditional agriculture;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Livestock grazing;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Livestock grazing;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Commercial & non-commercial water use;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Cultural & historical values;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Cultural & historical values;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Specific site value;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Medicinal herbs;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Tourism & recreation;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Tourism & recreation;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Building knowledge;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Formal & informal education;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Genetic material;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Genetic material;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Climate change mitigation;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Soil stabilization;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Flood prevention;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Water quality & quantity;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Pollination & honey production;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Pollination & honey production;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Nature materials;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Nature materials;Economic importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Wood;Importance of value;Local people living in the PA;0;0
Croatia;NP Brijuni;Wood;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Nature conservation;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Nature conservation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Jobs in Protected Areas;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Hunting;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Hunting;Economic importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Wild food plants and mushrooms;Importance of value;Local people living in the PA;2;0
Albania;NP Butrinti;Wild food plants and mushrooms;Economic importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Fishing;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Fishing;Economic importance of value;Local people living in the PA;1;1
Albania;NP Butrinti;Traditional agriculture;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Traditional agriculture;Economic importance of value;Local people living in the PA;0;1
Albania;NP Butrinti;Livestock grazing;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Livestock grazing;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Commercial & non-commercial water use;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Commercial & non-commercial water use;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Cultural & historical values;Importance of value;Local people living in the PA;2;0
Albania;NP Butrinti;Cultural & historical values;Economic importance of value;Local people living in the PA;1;1
Albania;NP Butrinti;Specific site value;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Medicinal herbs;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Medicinal herbs;Economic importance of value;Local people living in the PA;0;1
Albania;NP Butrinti;Medicinal herbs;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Tourism & recreation;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Tourism & recreation;Economic importance of value;Local people living in the PA;1;1
Albania;NP Butrinti;Building knowledge;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Building knowledge;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Formal & informal education;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Formal & informal education;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Genetic material;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Genetic material;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Climate change mitigation;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Climate change mitigation;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Soil stabilization;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Soil stabilization;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Flood prevention;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Flood prevention;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Water quality & quantity;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Water quality & quantity;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Pollination & honey production;Importance of value;Local people living in the PA;2;0
Albania;NP Butrinti;Pollination & honey production;Economic importance of value;Local people living in the PA;1;1
Albania;NP Butrinti;Nature materials;Importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Nature materials;Economic importance of value;Local people living in the PA;0;0
Albania;NP Butrinti;Wood;Importance of value;Local people living in the PA;1;0
Albania;NP Butrinti;Wood;Economic importance of value;Local people living in the PA;0;0
Serbia;NP Đerdap;Nature conservation;Importance of value;Local people living in the PA;1;0
Serbia;NP Đerdap;Nature conservation;Economic importance of value;Local people living in the PA;1;1
Serbia;NP Đerdap;Jobs in Protected Areas;Importance of value;Local people living in the PA;1;0
Serbia;NP Đerdap;Jobs in Protected Areas;Economic importance of value;Local people living in the PA;1;0
Serbia;NP Đerdap;Hunting;Importance of value;Local people living in the PA;1;0
Serbia;NP Đerdap;Hunting;Economic importance of value;Local people living in the PA;0;0
Serbia;NP Đerdap;Wild food plants and mushrooms;Importance of value;Local people living in the PA;1;0
