Country	Protected area	Group name	Question	Type of value	Stakeholder	Value	Potential (value)
Montenegro	NP Biogradska Gora	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Materials	Wood	Importance of value	Local people living in the PA	0	0
Montenegro	NP Biogradska Gora	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	2	0
Croatia	PP Biokovo	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	1	1
Croatia	PP Biokovo	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	2	1
Croatia	PP Biokovo	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	2	0
Croatia	PP Biokovo	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	2	0
Croatia	PP Biokovo	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	1	1
Croatia	PP Biokovo	Knowledge	Building knowledge	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Knowledge	Genetic material	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	1
Croatia	PP Biokovo	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	2	0
Croatia	PP Biokovo	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	1	0
Croatia	PP Biokovo	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Croatia	PP Biokovo	Materials	Wood	Importance of value	Local people living in the PA	2	0
Croatia	PP Biokovo	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Materials	Wood	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Drenoves	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Values related to food	Hunting	Importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Values related to food	Hunting	Economic importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	1	1
Albania	NP Bredhi i Hotoves	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	1
Albania	NP Bredhi i Hotoves	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	1
Albania	NP Bredhi i Hotoves	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Materials	Nature materials	Importance of value	Local people living in the PA	1	0
Albania	NP Bredhi i Hotoves	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Albania	NP Bredhi i Hotoves	Materials	Wood	Importance of value	Local people living in the PA	2	0
Albania	NP Bredhi i Hotoves	Materials	Wood	Economic importance of value	Local people living in the PA	1	0
Croatia	NP Brijuni	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Hunting	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Hunting	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Fishing	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Fishing	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Traditional agriculture	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Livestock grazing	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to food	Livestock grazing	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to water	Commercial & non-commercial water use	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Values related to water	Commercial & non-commercial water use	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Cultural and historical values	Cultural & historical values	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Cultural and historical values	Cultural & historical values	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Cultural and historical values	Specific site value	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Health and recreation values	Medicinal herbs	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Health and recreation values	Medicinal herbs	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Health and recreation values	Tourism & recreation	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Health and recreation values	Tourism & recreation	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Knowledge	Building knowledge	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Knowledge	Building knowledge	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Knowledge	Formal & informal education	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Knowledge	Formal & informal education	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Knowledge	Genetic material	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Knowledge	Genetic material	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Climate change mitigation	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Climate change mitigation	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Soil stabilization	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Soil stabilization	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Flood prevention	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Flood prevention	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Water quality & quantity	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Water quality & quantity	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Pollination & honey production	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Environmental services	Pollination & honey production	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Materials	Nature materials	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Materials	Nature materials	Economic importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Materials	Wood	Importance of value	Local people living in the PA	0	0
Croatia	NP Brijuni	Materials	Wood	Economic importance of value	Local people living in the PA	0	0
Albania	NP Butrinti	Nature conservation values	Nature conservation	Importance of value	Local people living in the PA	0	0
Albania	NP Butrinti	Nature conservation values	Nature conservation	Economic importance of value	Local people living in the PA	0	0
Albania	NP Butrinti	Management values	Jobs in Protected Areas	Importance of value	Local people living in the PA	0	0
Albania	NP Butrinti	Management values	Jobs in Protected Areas	Economic importance of value	Local people living in the PA	0	0
Albania	NP Butrinti	Values related to food	Hunting	Importance of value	Local people living in the PA	1	0
Albania	NP Butrinti	Values related to food	Hunting	Economic importance of value	Local people living in the PA	1	0
Albania	NP Butrinti	Values related to food	Wild food plants and mushrooms	Importance of value	Local people living in the PA	2	0
Albania	NP Butrinti	Values related to food	Wild food plants and mushrooms	Economic importance of value	Local people living in the PA	1	0
Albania	NP Butrinti	Values related to food	Fishing	Importance of value	Local people living in the PA	1	0
Albania	NP Butrinti	Values related to food	Fishing	Economic importance of value	Local people living in the PA	1	1
Albania	NP Butrinti	Values related to food	Traditional agriculture	Importance of value	Local people living in the PA	1	0
